Leto,Prvak,Podprvak,Prvi_proizvajalec,Drugi_proizvajalec
1949,Leslie Graham,Nello Pagani,AJS,Gilera
1950,Umberto Masetti,Geoff Duke,Norton,Gilera
1951,Geoff Duke,Alfredo Milani,Norton,Gilera
1952,Umberto Masetti,Leslie Graham,Gilera,Norton
1953,Geoff Duke,Reg Armstrong,Gilera,Norton
1954,Geoff Duke,Ray Amm,Gilera,Norton
1955,Geoff Duke,Reg Armstrong,Gilera,MV Agusta
1956,John Surtees,Walter Zeller,MV Agusta,Gilera
1957,Libero Liberati,Bob McIntyre,Gilera,MV Agusta
1958,John Surtees,John Hartle,MV Agusta,Norton
1959,John Surtees,Remo Venturi,MV Agusta,Norton
1960,John Surtees,Remo Venturi,MV Agusta,Norton
1961,Gary Hocking,Mike Hailwood,MV Agusta,Norton
1962,Mike Hailwood,Alan Shepherd,MV Agusta,Norton
1963,Mike Hailwood,Alan Shepherd,MV Agusta,Gilera
1964,Mike Hailwood,Phil Read,MV Agusta,Norton
1965,Mike Hailwood,Giacomo Agostini,MV Agusta,Norton
1966,Giacomo Agostini,Mike Hailwood,Honda,MV Agusta
1967,Giacomo Agostini,Mike Hailwood,MV Agusta,Honda
1968,Giacomo Agostini,Jack Findlay,MV Agusta,Matchless
1969,Giacomo Agostini,Gyula Marsovszky,MV Agusta,Linto
1970,Giacomo Agostini,Ginger Molloy,MV Agusta,Kawasaki
1971,Giacomo Agostini,Keith Turner,MV Agusta,Suzuki
1972,Giacomo Agostini,Alberto Pagani,MV Agusta,Yamaha
1973,Phil Read,Kim Newcombe,MV Agusta,Yamaha
1974,Phil Read,Gianfranco Bonera,Yamaha,MV Agusta
1975,Giacomo Agostini,Phil Read,Yamaha,MV Agusta
1976,Barry Sheene,Teuvo Lansivuori,Suzuki,Yamaha
1977,Barry Sheene,Steve Baker,Suzuki,Yamaha
1978,Kenny Roberts,Barry Sheene,Suzuki,Yamaha
1979,Kenny Roberts,Virginio Ferrari,Suzuki,Yamaha
1980,Kenny Roberts,Randy Mamola,Suzuki,Yamaha
1981,Marco Lucchinelli,Randy Mamola,Suzuki,Yamaha
1982,Franco Uncini,Graeme Crosby,Suzuki,Yamaha
1983,Freddie Spencer,Kenny Roberts,Honda,Yamaha
1984,Eddie Lawson,Randy Mamola,Honda,Yamaha
1985,Freddie Spencer,Eddie Lawson,Honda,Yamaha
1986,Eddie Lawson,Wayne Gardner,Yamaha,Honda
1987,Wayne Gardner,Randy Mamola,Yamaha,Honda
1988,Eddie Lawson,Wayne Gardner,Yamaha,Honda
1989,Eddie Lawson,Wayne Rainey,Honda,Yamaha
1990,Wayne Rainey,Kevin Schwantz,Yamaha,Honda
1991,Wayne Rainey,Mick Doohan,Yamaha,Honda
1992,Wayne Rainey,Mick Doohan,Honda,Yamaha
1993,Kevin Schwantz,Wayne Rainey,Yamaha,Suzuki
1994,Mick Doohan,Luca Cadalora,Honda,Suzuki
1995,Mick Doohan,Daryl Beattie,Honda,Suzuki
1996,Mick Doohan,Alex Criville,Honda,Yamaha
1997,Mick Doohan,Tadayuki Okada,Honda,Yamaha
1998,Mick Doohan,Max Biaggi,Honda,Yamaha
1999,Alex Criville,Kenny Roberts Jr.,Honda,Yamaha
2000,Kenny Roberts Jr.,Valentino Rossi,Yamaha,Honda
2001,Valentino Rossi,Max Biaggi,Honda,Yamaha
2002,Valentino Rossi,Max Biaggi,Honda,Yamaha
2003,Valentino Rossi,Sete Gibernau,Honda,Ducati
2004,Valentino Rossi,Sete Gibernau,Honda,Yamaha
2005,Valentino Rossi,Marco Melandri,Yamaha,Honda
2006,Nicky Hayden,Valentino Rossi,Honda,Yamaha
2007,Casey Stoner,Dani Pedrosa,Ducati,Honda
2008,Valentino Rossi,Casey Stoner,Yamaha,Ducati
2009,Valentino Rossi,Jorge Lorenzo,Yamaha,Honda
2010,Jorge Lorenzo,Dani Pedrosa,Yamaha,Honda
2011,Casey Stoner,Jorge Lorenzo,Honda,Yamaha
2012,Jorge Lorenzo,Dani Pedrosa,Honda,Yamaha
2013,Marc Marquez,Jorge Lorenzo,Honda,Yamaha
2014,Marc Marquez,Valentino Rossi,Honda,Yamaha
2015,Jorge Lorenzo,Valentino Rossi,Yamaha,Honda
2016,Marc Marquez,Valentino Rossi,Honda,Yamaha
